n,d,fdr,tpr,fpr,shd,pred_size,F1-score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1-score_und
100,20,0.03 ,0.91 ,0.00 ,2.3 ,18.70 ,0.94 ,0.02 ,0.92 ,0.00 ,2.1 ,18.70 ,0.95 
500,20,0.00 ,0.98 ,0.00 ,0.5 ,19.50 ,0.99 ,0.00 ,0.98 ,0.00 ,0.5 ,19.50 ,0.99 
1000,20,0.00 ,0.99 ,0.00 ,0.3 ,19.70 ,0.99 ,0.00 ,0.99 ,0.00 ,0.3 ,19.70 ,0.99 
5000,20,0.00 ,0.98 ,0.00 ,0.5 ,19.50 ,0.99 ,0.00 ,0.98 ,0.00 ,0.5 ,19.50 ,0.99 
10000,20,0.00 ,0.98 ,0.00 ,0.4 ,19.60 ,0.99 ,0.00 ,0.98 ,0.00 ,0.4 ,19.60 ,0.99 
