n,distribution,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,gauss,0.44 ,0.64 ,0.06 ,10.0 ,22.80 ,0.60 ,0.12 ,1.00 ,0.02 ,2.8 ,22.80 ,0.94 
1000,exp,0.42 ,0.67 ,0.06 ,10.1 ,23.40 ,0.62 ,0.15 ,1.00 ,0.02 ,3.6 ,23.40 ,0.92 
1000,gumbel,0.38 ,0.68 ,0.05 ,8.4 ,21.90 ,0.64 ,0.09 ,1.00 ,0.01 ,1.9 ,21.90 ,0.96 
