n,distribution,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,gauss,0,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,gauss,1,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,gauss,2,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,gauss,3,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,gauss,4,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,gauss,5,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,gauss,6,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,gauss,7,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,gauss,8,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,gauss,9,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,exp,0,0.2727272727272727,0.8,0.03529411764705882,8.0,22.0,0.761904761904762,0.18181818181818182,0.9,0.023529411764705882,6.0,22.0,0.8571428571428571
1000,exp,1,0.25,0.75,0.029411764705882353,7.0,20.0,0.75,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,exp,2,0.19047619047619047,0.85,0.023529411764705882,6.0,21.0,0.8292682926829269,0.14285714285714285,0.9,0.01764705882352941,5.0,21.0,0.8780487804878049
1000,exp,3,0.23809523809523808,0.8,0.029411764705882353,7.0,21.0,0.7804878048780488,0.14285714285714285,0.9,0.01764705882352941,5.0,21.0,0.8780487804878049
1000,exp,4,0.30434782608695654,0.8,0.041176470588235294,10.0,23.0,0.7441860465116279,0.2608695652173913,0.85,0.03529411764705882,9.0,23.0,0.7906976744186046
1000,exp,5,0.2727272727272727,0.8,0.03529411764705882,8.0,22.0,0.761904761904762,0.18181818181818182,0.9,0.023529411764705882,6.0,22.0,0.8571428571428571
1000,exp,6,0.19047619047619047,0.85,0.023529411764705882,6.0,21.0,0.8292682926829269,0.14285714285714285,0.9,0.01764705882352941,5.0,21.0,0.8780487804878049
1000,exp,7,0.23809523809523808,0.8,0.029411764705882353,8.0,21.0,0.7804878048780488,0.19047619047619047,0.85,0.023529411764705882,7.0,21.0,0.8292682926829269
1000,exp,8,0.2,0.8,0.023529411764705882,6.0,20.0,0.8000000000000002,0.1,0.9,0.011764705882352941,4.0,20.0,0.9
1000,exp,9,0.23809523809523808,0.8,0.029411764705882353,7.0,21.0,0.7804878048780488,0.14285714285714285,0.9,0.01764705882352941,5.0,21.0,0.8780487804878049
1000,gumbel,0,0.18181818181818182,0.9,0.023529411764705882,5.0,22.0,0.8571428571428571,0.13636363636363635,0.95,0.01764705882352941,4.0,22.0,0.9047619047619048
1000,gumbel,1,0.20833333333333334,0.95,0.029411764705882353,5.0,24.0,0.8636363636363635,0.16666666666666666,1.0,0.023529411764705882,4.0,24.0,0.9090909090909091
1000,gumbel,2,0.17391304347826086,0.95,0.023529411764705882,4.0,23.0,0.8837209302325583,0.13043478260869565,1.0,0.01764705882352941,3.0,23.0,0.9302325581395349
1000,gumbel,3,0.20833333333333334,0.95,0.029411764705882353,5.0,24.0,0.8636363636363635,0.16666666666666666,1.0,0.023529411764705882,4.0,24.0,0.9090909090909091
1000,gumbel,4,0.3333333333333333,0.9,0.052941176470588235,10.0,27.0,0.7659574468085106,0.2962962962962963,0.95,0.047058823529411764,9.0,27.0,0.8085106382978724
1000,gumbel,5,0.2692307692307692,0.95,0.041176470588235294,7.0,26.0,0.8260869565217392,0.23076923076923078,1.0,0.03529411764705882,6.0,26.0,0.8695652173913043
1000,gumbel,6,0.24,0.95,0.03529411764705882,6.0,25.0,0.8444444444444444,0.2,1.0,0.029411764705882353,5.0,25.0,0.888888888888889
1000,gumbel,7,0.20833333333333334,0.95,0.029411764705882353,5.0,24.0,0.8636363636363635,0.16666666666666666,1.0,0.023529411764705882,4.0,24.0,0.9090909090909091
1000,gumbel,8,0.17391304347826086,0.95,0.023529411764705882,4.0,23.0,0.8837209302325583,0.13043478260869565,1.0,0.01764705882352941,3.0,23.0,0.9302325581395349
1000,gumbel,9,0.24,0.95,0.03529411764705882,6.0,25.0,0.8444444444444444,0.2,1.0,0.029411764705882353,5.0,25.0,0.888888888888889
