n,graphmodel,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,ER,0.18 ,0.90 ,0.02 ,4.0 ,22.00 ,0.86 ,0.09 ,1.00 ,0.01 ,2.0 ,22.00 ,0.95 
1000,SF,0.10 ,0.94 ,0.01 ,2.1 ,19.90 ,0.92 ,0.05 ,0.99 ,0.01 ,1.1 ,19.90 ,0.97 
