n,graphmodel,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,ER,0.16 ,0.82 ,0.02 ,5.6 ,19.60 ,0.83 ,0.10 ,0.88 ,0.01 ,4.4 ,19.60 ,0.89 
1000,SF,0.11 ,0.89 ,0.01 ,3.0 ,19.00 ,0.89 ,0.05 ,0.95 ,0.01 ,2.0 ,19.00 ,0.95 
