n,graphmodel,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,ER,0.00 ,0.97 ,0.00 ,0.6 ,19.40 ,0.98 ,0.00 ,0.97 ,0.00 ,0.6 ,19.40 ,0.98 
1000,SF,0.00 ,0.95 ,0.00 ,1.0 ,18.00 ,0.97 ,0.00 ,0.95 ,0.00 ,1.0 ,18.00 ,0.97 
