n,graphmodel,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,ER,0,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,ER,1,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,ER,2,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,ER,3,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,ER,4,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,ER,5,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,ER,6,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,ER,7,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,ER,8,0.0,0.95,0.0,1.0,19.0,0.9743589743589743,0.0,0.95,0.0,1.0,19.0,0.9743589743589743
1000,ER,9,0.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0
1000,SF,0,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,1,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,2,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,3,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,4,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,5,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,6,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,7,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,8,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
1000,SF,9,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973,0.0,0.9473684210526315,0.0,1.0,18.0,0.972972972972973
