n,graphmodel,fdr,tpr,fpr,shd,F1_score,fdr_und,tpr_und,fpr_und,shd_und,F1_score_und
1000,ER,0.43 ,0.66 ,0.06 ,9.9 ,0.61 ,0.13 ,1.00 ,0.02 ,3.0 ,0.93 
1000,SF,0.20 ,0.89 ,0.02 ,4.2 ,0.85 ,0.10 ,1.00 ,0.01 ,2.2 ,0.95 
