n,graphmodel,fdr,tpr,fpr,shd,F1_score,fdr_und,tpr_und,fpr_und,shd_und,F1_score_und
1000,ER,0.41 ,0.68 ,0.06 ,9.4 ,0.63 ,0.12 ,1.00 ,0.02 ,2.9 ,0.93 
1000,SF,0.19 ,0.89 ,0.02 ,4.0 ,0.85 ,0.09 ,1.00 ,0.01 ,1.9 ,0.95 
