n,k,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0.382372627,0.735,0.058823529,10,24.7,0.659417476,0.173956444,1,0.027647059,4.7,24.7,0.900770272
1000,4,0.306124029,0.81,0.042941176,7.4,23.5,0.746384011,0.147872427,0.995,0.021176471,3.7,23.5,0.916700944
1000,10,0.358915527,0.76,0.050588235,8.7,23.8,0.694778304,0.160180197,0.995,0.022941176,4,23.8,0.909916265
