n,k,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0.42,0.65,0.06,9.6,22.6,0.61,0.11,1,0.02,2.6,22.6,0.94
1000,4,0.32,0.75,0.04,7.1,22,0.71,0.09,1,0.01,2.2,22,0.95
1000,10,0.36,0.79,0.05,8.9,24.7,0.71,0.19,1,0.03,4.7,24.7,0.9
