n,k,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0.283070175,0.695,0.032352941,6.5,19.4,0.705600375,0.019786967,0.95,0.002352941,1.4,19.4,0.964606004
1000,4,0.285943647,0.7,0.032941176,6.6,19.6,0.706384065,0.028160173,0.95,0.003529412,1.6,19.6,0.960075447
1000,10,0.31289018,0.695,0.037647059,7.3,20.3,0.689379523,0.056082251,0.955,0.007058824,2.1,20.3,0.948747878
