n,k,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,2,0.3,0.8,0.04,7,23,0.74,0.13,1,0.02,3,23,0.93
1000,4,0.47,0.7,0.07,12.3,26.3,0.6,0.24,1,0.04,6.3,26.3,0.86
1000,10,0.53,0.5,0.07,15.2,21.4,0.47,0.24,0.81,0.03,9,21.4,0.78
