n,k,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,2,0.18,0.79,0.02,6.2,19.5,0.81,0.11,0.87,0.01,4.7,19.5,0.88
1000,4,0.27,0.7,0.03,8.3,19.3,0.71,0.12,0.85,0.01,5.3,19.3,0.86
1000,10,0.25,0.5,0.02,11,13.4,0.6,0.07,0.62,0.01,8.6,13.4,0.74
