n,alpha,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,0.5,0,0.86,0,2.8,17.2,0.92,0,0.86,0,2.8,17.2,0.92
1000,1,0,0.99,0,0.3,19.7,0.99,0,0.99,0,0.3,19.7,0.99
1000,2,0,0.9,0,2.1,17.9,0.94,0,0.9,0,2.1,17.9,0.94
