n,alpha,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,0.5,0.06,0.76,0.01,4.9,16.1,0.84,0,0.8,0,3.9,16.1,0.89
1000,1,0.15,0.85,0.02,5.1,19.9,0.85,0.1,0.9,0.01,4.1,19.9,0.9
1000,2,0.11,0.88,0.01,4.6,19.8,0.88,0.11,0.88,0.01,4.6,19.8,0.88
