n,alpha,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,0.5,0.55 ,0.51 ,0.07 ,13.8 ,22.80 ,0.43 ,0.17 ,0.95 ,0.02 ,5.0 ,22.80 ,0.88 
1000,1,0.42 ,0.66 ,0.06 ,9.5 ,22.70 ,0.62 ,0.12 ,1.00 ,0.02 ,2.7 ,22.70 ,0.94 
1000,2,0.43 ,0.62 ,0.06 ,10.5 ,22.10 ,0.59 ,0.12 ,0.96 ,0.02 ,3.7 ,22.10 ,0.91 
