n,m,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0.28,0.73,0.03,5.8,20.1,0.72,0.01,0.99,0,0.5,20.1,0.99
1000,3,0.56,0.35,0.05,13.8,15.9,0.32,0.05,0.76,0,5.7,15.9,0.84
1000,4,0.43,0.51,0.04,10.2,17.7,0.52,0.02,0.87,0,2.9,17.7,0.92
