n,m,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0.35,0.75,0.05,8.7,23.7,0.69,0.14,1,0.02,3.7,23.7,0.92
1000,3,0.49,0.58,0.06,12.5,22.5,0.53,0.18,0.93,0.02,5.5,22.5,0.87
1000,4,0.39,0.73,0.05,10.3,23.7,0.66,0.2,0.95,0.03,5.9,23.7,0.87
