n,m,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,2,0.43,0.65,0.06,9.9,22.9,0.61,0.12,1,0.02,2.9,22.9,0.93
1000,3,0.58,0.51,0.08,15.8,24.3,0.42,0.24,0.92,0.04,7.7,24.3,0.83
1000,4,0.43,0.65,0.06,10.1,22.8,0.6,0.13,0.99,0.02,3.2,22.8,0.93
