n,alpha,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,0.5,0,0.608695652,0.45,0.082352941,16,23,0.352173913,0.217391304,0.9,0.029411765,7,23,0.837209302
1000,0.5,1,0.545454545,0.5,0.070588235,13,22,0.454545455,0.136363636,0.95,0.017647059,4,22,0.904761905
1000,0.5,2,0.45,0.55,0.052941176,11,20,0.55,0.1,0.9,0.011764706,4,20,0.9
1000,0.5,3,0.571428571,0.45,0.070588235,13,21,0.385714286,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,0.5,4,0.583333333,0.5,0.082352941,14,24,0.416666667,0.166666667,1,0.023529412,4,24,0.909090909
1000,0.5,5,0.625,0.45,0.088235294,16,24,0.3375,0.208333333,0.95,0.029411765,6,24,0.863636364
1000,0.5,6,0.571428571,0.45,0.070588235,13,21,0.385714286,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,0.5,7,0.545454545,0.5,0.070588235,13,22,0.454545455,0.136363636,0.95,0.017647059,4,22,0.904761905
1000,0.5,8,0.6,0.5,0.088235294,16,25,0.4,0.24,0.95,0.035294118,7,25,0.844444444
1000,0.5,9,0.52173913,0.55,0.070588235,13,23,0.511627907,0.173913043,0.95,0.023529412,5,23,0.88372093
1000,1,0,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,1,1,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,1,2,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,1,3,0.48,0.65,0.070588235,12,25,0.577777778,0.2,1,0.029411765,5,25,0.888888889
1000,1,4,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,1,5,0.409090909,0.65,0.052941176,9,22,0.619047619,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,6,0.409090909,0.65,0.052941176,9,22,0.619047619,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,7,0.380952381,0.65,0.047058824,8,21,0.634146341,0.047619048,1,0.005882353,1,21,0.975609756
1000,1,8,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,1,9,0.458333333,0.65,0.064705882,11,24,0.590909091,0.166666667,1,0.023529412,4,24,0.909090909
1000,2,0,0.5,0.55,0.064705882,12,22,0.523809524,0.136363636,0.95,0.017647059,4,22,0.904761905
1000,2,1,0.565217391,0.5,0.076470588,14,23,0.434782609,0.173913043,0.95,0.023529412,5,23,0.88372093
1000,2,2,0.545454545,0.5,0.070588235,14,22,0.454545455,0.181818182,0.9,0.023529412,6,22,0.857142857
1000,2,3,0.458333333,0.65,0.064705882,11,24,0.590909091,0.166666667,1,0.023529412,4,24,0.909090909
1000,2,4,0.541666667,0.55,0.076470588,14,24,0.5,0.208333333,0.95,0.029411765,6,24,0.863636364
1000,2,5,0.52173913,0.55,0.070588235,13,23,0.511627907,0.173913043,0.95,0.023529412,5,23,0.88372093
1000,2,6,0.541666667,0.55,0.076470588,14,24,0.5,0.208333333,0.95,0.029411765,6,24,0.863636364
1000,2,7,0.5,0.6,0.070588235,12,24,0.545454545,0.166666667,1,0.023529412,4,24,0.909090909
1000,2,8,0.576923077,0.55,0.088235294,16,26,0.465384615,0.269230769,0.95,0.041176471,8,26,0.826086957
1000,2,9,0.555555556,0.6,0.088235294,15,27,0.510638298,0.259259259,1,0.041176471,7,27,0.85106383
