n,alpha,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,0.5,0,0.055555556,0.85,0.005882353,3,18,0.894736842,0,0.9,0,2,18,0.947368421
1000,0.5,1,0.111111111,0.8,0.011764706,4,18,0.842105263,0,0.9,0,2,18,0.947368421
1000,0.5,2,0.0625,0.75,0.005882353,5,16,0.833333333,0,0.8,0,4,16,0.888888889
1000,0.5,3,0.058823529,0.8,0.005882353,4,17,0.864864865,0,0.85,0,3,17,0.918918919
1000,0.5,4,0.058823529,0.8,0.005882353,4,17,0.864864865,0,0.85,0,3,17,0.918918919
1000,0.5,5,0.055555556,0.85,0.005882353,3,18,0.894736842,0,0.9,0,2,18,0.947368421
1000,0.5,6,0.0625,0.75,0.005882353,5,16,0.833333333,0,0.8,0,4,16,0.888888889
1000,0.5,7,0.117647059,0.75,0.011764706,5,17,0.810810811,0,0.85,0,3,17,0.918918919
1000,0.5,8,0.058823529,0.8,0.005882353,4,17,0.864864865,0,0.85,0,3,17,0.918918919
1000,0.5,9,0.111111111,0.8,0.011764706,4,18,0.842105263,0,0.9,0,2,18,0.947368421
1000,1,0,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,1,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,2,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,3,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,4,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,5,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,6,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,7,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,8,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,1,9,0.181818182,0.9,0.023529412,4,22,0.857142857,0.090909091,1,0.011764706,2,22,0.952380952
1000,2,0,0.142857143,0.9,0.017647059,4,21,0.87804878,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,2,1,0.142857143,0.9,0.017647059,4,21,0.87804878,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,2,2,0.142857143,0.9,0.017647059,4,21,0.87804878,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,2,3,0.1,0.9,0.011764706,4,20,0.9,0.1,0.9,0.011764706,4,20,0.9
1000,2,4,0.142857143,0.9,0.017647059,4,21,0.87804878,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,2,5,0.1,0.9,0.011764706,4,20,0.9,0.1,0.9,0.011764706,4,20,0.9
1000,2,6,0.142857143,0.9,0.017647059,4,21,0.87804878,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,2,7,0.1,0.9,0.011764706,4,20,0.9,0.1,0.9,0.011764706,4,20,0.9
1000,2,8,0.142857143,0.9,0.017647059,4,21,0.87804878,0.095238095,0.95,0.011764706,3,21,0.926829268
1000,2,9,0.1,0.9,0.011764706,4,20,0.9,0.1,0.9,0.011764706,4,20,0.9
