n,alpha,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,0.5,0.437554113,0.59,0.054705882,10.4,21.1,0.573101407,0.101341991,0.945,0.012941176,3.3,21.1,0.920276912
1000,1,0.35,0.75,0.05,8.7,23.7,0.69,0.14,1,0.02,3.7,23.7,0.92
1000,2,0.453227931,0.6,0.058823529,11,22,0.571647968,0.133180877,0.95,0.017647059,4,22,0.905679357
