n,alpha,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,0.5,0.35,0.62,0.04,7.8,19.1,0.63,0.01,0.95,0,1.3,19.1,0.97
1000,1,0.29,0.72,0.03,6.1,20.2,0.71,0.02,0.99,0,0.6,20.2,0.99
1000,2,0.48,0.4,0.04,12.8,15.3,0.4,0.05,0.73,0,6.1,15.3,0.83
