n,s0,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,10,0.57 ,0.59 ,0.04 ,7.8 ,13.70 ,0.49 ,0.26 ,1.00 ,0.02 ,3.7 ,13.70 ,0.85 
1000,20,0.43 ,0.65 ,0.06 ,9.9 ,22.90 ,0.61 ,0.12 ,1.00 ,0.02 ,2.9 ,22.90 ,0.93 
1000,40,0.56 ,0.71 ,0.25 ,39.1 ,65.80 ,0.54 ,0.41 ,0.96 ,0.18 ,29.0 ,65.80 ,0.73 
