n,m,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,2,0,0.99,0,0.3,19.7,0.99,0,0.99,0,0.3,19.7,0.99
1000,3,0.13,0.99,0.02,3.2,22.8,0.93,0.13,0.99,0.02,3.2,22.8,0.93
1000,4,0,0.9,0,2,18,0.95,0,0.9,0,2,18,0.95
