n,d,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,10,0.36,0.76,0.13,4.5,12.1,0.69,0.17,1,0.06,2.1,12.1,0.91
1000,20,0.35,0.75,0.05,8.7,23.7,0.69,0.14,1,0.02,3.7,23.7,0.92
1000,40,0.46,0.71,0.03,25.2,53.3,0.6,0.25,1,0.02,13.7,53.3,0.85
1000,100,0.58,0.74,0.02,104.9,177.7,0.54,0.44,0.99,0.02,80.7,177.7,0.71
