n,d,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,10,0.26,0.85,0.09,3.1,11.5,0.79,0.14,0.99,0.05,1.7,11.5,0.92
1000,20,0.43,0.65,0.06,9.9,22.9,0.61,0.12,1,0.02,2.9,22.9,0.93
1000,40,0.5,0.67,0.04,27.6,54.4,0.57,0.26,1,0.02,14.4,54.4,0.85
1000,100,0.57,0.74,0.02,97.8,171.3,0.55,0.42,1,0.01,72.3,171.3,0.73
