n,d,fdr,tpr,fpr,shd,pred_size,F1-score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1-score_und
1000,10,0,0.9,0,1,9,0.95,0,0.9,0,1,9,0.95
1000,20,0,0.99,0,0.3,19.7,0.99,0,0.99,0,0.3,19.7,0.99
1000,40,0,0.97,0,1,39,0.99,0,0.97,0,1,39,0.99
1000,100,0,0.98,0,1.9,98.3,0.99,0,0.98,0,1.7,98.3,0.99
