n,distribution,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,gauss,0.00 ,0.99 ,0.00 ,0.1 ,19.90 ,1.00 ,0.00 ,0.99 ,0.00 ,0.1 ,19.90 ,1.00 
1000,exp,0.24 ,0.80 ,0.03 ,7.3 ,21.20 ,0.78 ,0.16 ,0.89 ,0.02 ,5.6 ,21.20 ,0.86 
1000,gumbel,0.22 ,0.94 ,0.03 ,5.7 ,24.30 ,0.85 ,0.18 ,0.99 ,0.03 ,4.7 ,24.30 ,0.89 
