n,d,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
100,20,0.32,0.56,0.03,9.2,16.3,0.61,0.02,0.8,0,4.3,16.3,0.88
500,20,0.34,0.62,0.04,7.8,18.7,0.64,0.01,0.93,0,1.5,18.7,0.96
1000,20,0.31,0.7,0.04,6.5,20.2,0.69,0.02,0.99,0,0.6,20.2,0.99
5000,20,0.31,0.7,0.04,6.4,20.3,0.69,0.01,1,0,0.3,20.3,0.99
10000,20,0.29,0.71,0.03,5.9,20.1,0.71,0,1,0,0.1,20.1,1
