n,d,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
100,20,0.49 ,0.63 ,0.07 ,13.9 ,24.90 ,0.56 ,0.25 ,0.92 ,0.04 ,8.1 ,24.90 ,0.82 
500,20,0.44 ,0.65 ,0.06 ,10.5 ,23.30 ,0.60 ,0.15 ,0.99 ,0.02 ,3.7 ,23.30 ,0.92 
1000,20,0.43 ,0.65 ,0.06 ,9.9 ,22.90 ,0.61 ,0.12 ,1.00 ,0.02 ,2.9 ,22.90 ,0.93 
5000,20,0.41 ,0.66 ,0.05 ,9.2 ,22.30 ,0.62 ,0.10 ,1.00 ,0.01 ,2.3 ,22.30 ,0.95 
10000,20,0.40 ,0.65 ,0.05 ,8.5 ,21.40 ,0.62 ,0.06 ,1.00 ,0.01 ,1.4 ,21.40 ,0.97 
