n,d,fdr,tpr,fpr,shd,pred_size,F1-score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1-score_und
100,20,0.16 ,0.82 ,0.02 ,5.4 ,19.50 ,0.83 ,0.09 ,0.89 ,0.01 ,4.1 ,19.50 ,0.90 
500,20,0.14 ,0.84 ,0.02 ,5.2 ,19.50 ,0.85 ,0.10 ,0.88 ,0.01 ,4.5 ,19.50 ,0.89 
1000,20,0.15 ,0.85 ,0.02 ,5.1 ,19.90 ,0.85 ,0.10 ,0.90 ,0.01 ,4.1 ,19.90 ,0.90 
5000,20,0.15 ,0.85 ,0.02 ,5.0 ,19.90 ,0.85 ,0.10 ,0.90 ,0.01 ,4.1 ,19.90 ,0.90 
10000,20,0.15 ,0.85 ,0.02 ,4.9 ,20.10 ,0.85 ,0.10 ,0.91 ,0.01 ,3.9 ,20.10 ,0.90 
