n,d,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,10,0.23,0.82,0.07,2.5,10.7,0.79,0.06,1,0.02,0.7,10.7,0.97
1000,20,0.42,0.66,0.06,9.5,22.7,0.62,0.12,1,0.02,2.7,22.7,0.94
1000,40,0.42,0.77,0.03,22.4,53.3,0.66,0.25,1,0.02,13.3,53.3,0.86
1000,100,0.55,0.77,0.02,95.4,171.6,0.57,0.42,1,0.01,72.6,171.6,0.73
