n,d,fdr,tpr,fpr,shd,pred_size,F1-score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1-score_und
1000,10,0.1,0.9,0.03,1,10,0.9,0,1,0,0,10,1
1000,20,0.18,0.9,0.02,4,22,0.86,0.09,1,0.01,2,22,0.95
1000,40,0,1,0,0,40,1,0,1,0,0,40,1
1000,100,0.03,0.99,0,2.7,101.4,0.98,0.01,1,0,1.4,101.4,0.99
