n,d,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,10,0,0.333333333,0.8,0.114285714,4,12,0.727272727,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,1,0.416666667,0.7,0.142857143,5,12,0.636363636,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,2,0.538461538,0.6,0.2,7,13,0.52173913,0.230769231,1,0.085714286,3,13,0.869565217
1000,10,3,0.571428571,0.6,0.228571429,8,14,0.5,0.285714286,1,0.114285714,4,14,0.833333333
1000,10,4,0.333333333,0.8,0.114285714,4,12,0.727272727,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,5,0.25,0.9,0.085714286,3,12,0.818181818,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,6,0.272727273,0.8,0.085714286,3,11,0.761904762,0.090909091,1,0.028571429,1,11,0.952380952
1000,10,7,0.333333333,0.8,0.114285714,4,12,0.727272727,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,8,0.416666667,0.7,0.142857143,5,12,0.636363636,0.166666667,1,0.057142857,2,12,0.909090909
1000,10,9,0.181818182,0.9,0.057142857,2,11,0.857142857,0.090909091,1,0.028571429,1,11,0.952380952
1000,20,0,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,1,0.735294118,0.45,0.147058824,25,34,0.238235294,0.411764706,1,0.082352941,14,34,0.740740741
1000,20,2,0.434782609,0.65,0.058823529,10,23,0.604651163,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,3,0.217391304,0.9,0.029411765,5,23,0.837209302,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,4,0.363636364,0.7,0.047058824,8,22,0.666666667,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,5,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,6,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,7,0.272727273,0.8,0.035294118,6,22,0.761904762,0.090909091,1,0.011764706,2,22,0.952380952
1000,20,8,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,20,9,0.333333333,0.8,0.047058824,8,24,0.727272727,0.166666667,1,0.023529412,4,24,0.909090909
1000,40,0,0.490566038,0.675,0.035135135,26,53,0.580645161,0.245283019,1,0.017567568,13,53,0.860215054
1000,40,1,0.319148936,0.8,0.02027027,15,47,0.735632184,0.14893617,1,0.009459459,7,47,0.91954023
1000,40,2,0.625,0.525,0.047297297,36,56,0.39375,0.303571429,0.975,0.022972973,18,56,0.8125
1000,40,3,0.433962264,0.75,0.031081081,24,53,0.64516129,0.264150943,0.975,0.018918919,15,53,0.838709677
1000,40,4,0.481481481,0.7,0.035135135,26,54,0.595744681,0.259259259,1,0.018918919,14,54,0.85106383
1000,40,5,0.326923077,0.875,0.022972973,17,52,0.760869565,0.230769231,1,0.016216216,12,52,0.869565217
1000,40,6,0.528301887,0.625,0.037837838,28,53,0.537634409,0.245283019,1,0.017567568,13,53,0.860215054
1000,40,7,0.470588235,0.675,0.032432432,24,51,0.593406593,0.215686275,1,0.014864865,11,51,0.879120879
1000,40,8,0.384615385,0.8,0.027027027,20,52,0.695652174,0.230769231,1,0.016216216,12,52,0.869565217
1000,40,9,0.580645161,0.65,0.048648649,36,62,0.509803922,0.35483871,1,0.02972973,22,62,0.784313725
1000,100,0,0.574850299,0.71,0.019793814,97,167,0.531835206,0.407185629,0.99,0.014020619,69,167,0.741573034
1000,100,1,0.595744681,0.76,0.023092784,115,188,0.527777778,0.484042553,0.97,0.018762887,94,188,0.673611111
1000,100,2,0.591397849,0.76,0.022680412,110,186,0.531468531,0.462365591,1,0.017731959,86,186,0.699300699
1000,100,3,0.55,0.72,0.01814433,91,160,0.553846154,0.39375,0.97,0.012989691,66,160,0.746153846
1000,100,4,0.5,0.81,0.016701031,81,162,0.618320611,0.382716049,1,0.012783505,62,162,0.763358779
1000,100,5,0.589595376,0.71,0.021030928,104,173,0.52014652,0.433526012,0.98,0.015463918,77,173,0.717948718
1000,100,6,0.682464455,0.67,0.029690722,146,211,0.42549763,0.535545024,0.98,0.023298969,115,211,0.63022508
1000,100,7,0.576086957,0.78,0.02185567,107,184,0.549295775,0.461956522,0.99,0.017525773,86,184,0.697183099
1000,100,8,0.551724138,0.78,0.019793814,98,174,0.569343066,0.436781609,0.98,0.015670103,78,174,0.715328467
1000,100,9,0.575581395,0.73,0.020412371,100,172,0.536764706,0.424418605,0.99,0.015051546,74,172,0.727941176
