n,d,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size.1,F1_score_und
1000,10,0.42,0.5,0.11,6,8.8,0.5,0.11,0.78,0.03,3.2,8.8,0.83
1000,20,0.28,0.73,0.03,5.8,20.1,0.72,0.01,0.99,0,0.5,20.1,0.99
1000,40,0.3,0.66,0.02,14.5,37.4,0.68,0.02,0.92,0,4,37.4,0.95
1000,100,0.16,0.79,0,21.5,94.9,0.81,0.01,0.94,0,6.7,94.9,0.97
